School_Name,Satety_Rating,Family_Rating,Environment_Rating,Instruction_Rating,Leaders_Rating,Teacher_Rating
"Elizabeth Peabody Elementary School","Average","Average","Average","Strong","Weak","Average"
"Eliza Chappell Elementary School","Strong","Strong","Average","Average","Weak","Average"
"Ella Flagg Young Elementary School","Weak","NDA","Average","Average","Weak","NDA"
"Ellen H Richards Career Academy High School","Weak","Weak","Weak","Very Weak","Weak","Weak"
"Ellen Mitchell Elementary School","Very Strong","Strong","Very Strong","Very Strong","Weak","Very Strong"
"Emil G Hirsch Metropolitan High School","Very Weak","Average","Weak","Weak","Weak","Average"
"Emiliano Zapata Elementary Academy","Strong","Average","Average","Average","Weak","Strong"
"Emmett Louis Till Math and Science Academy","Weak","Weak","Average","Average","Weak","Average"
"Enrico Fermi Elementary School","Weak","Average","Strong","Strong","Weak","Average"
"Enrico Tonti Elementary School","NDA","Average","NDA","NDA","Weak","Average"
"Eric Solorio Academy High School","Strong","Average","Average","Strong","Weak","Strong"
"Ernst Prussing Elementary School","Strong","NDA","Average","Average","Weak","NDA"
"Esmond Elementary School","Weak","NDA","Average","Average","Weak","NDA"
"Eugene Field Elementary School","Average","Weak","Average","Weak","Weak","Very Weak"
"Everett McKinley Dirksen Elementary School","Average","NDA","Very Weak","Very Weak","Weak","NDA"
"Evergreen Academy Middle School","Strong","Average","Average","Average","Weak","Strong"
"Fairfield Elementary Academy","Weak","Weak","Average","Weak","Weak","Weak"
"Federico Garcia Lorca Elementary School","Average","Average","Average","Average","Weak","Very Strong"
"Wilma Rudolph Elementary Learning Center","NDA","NDA","NDA","NDA","Weak","NDA"
"Ferdinand Peck Elementary School","Average","Average","Average","Average","Weak","Weak"
"Fernwood Elementary School","Weak","Weak","Very Weak","Average","Weak","Average"
"Florence B Price Elementary School","Weak","NDA","Weak","Average","Weak","NDA"
"Florence Nightingale Elementary School","Weak","Average","Average","Average","Weak","Strong"
"Fort Dearborn Elementary School","Weak","NDA","Strong","Strong","Weak","NDA"
"Foster Park Elementary School","Very Weak","Average","Weak","Weak","Weak","Average"
"Francisco I Madero Middle School","Average","Weak","Average","Average","Weak","Weak"
"Francis M McKay Elementary School","Weak","Average","Weak","Average","Weak","Strong"
"Francis Parkman Elementary School","Weak","Weak","Average","Weak","Weak","Weak"
"Francis Scott Key Elementary School","Weak","NDA","Average","Strong","Weak","NDA"
"Francis W Parker Elementary Community Academy","Weak","NDA","Average","Average","Weak","NDA"
"Frank I Bennett Elementary School","Average","Average","Average","Strong","Weak","Average"
"Frank L Gillespie Elementary School","Weak","NDA","Weak","Average","Weak","NDA"
"Franklin Elementary Fine Arts Center","Very Strong","NDA","Strong","Average","Weak","NDA"
"Frank W Gunsaulus Elementary Scholastic Academy","Average","Weak","Weak","Average","Weak","Very Weak"
"Frank W Reilly Elementary School","Average","NDA","Weak","Weak","Weak","NDA"
"Franz Peter Schubert Elementary School","NDA","Weak","NDA","NDA","Weak","Weak"
"Frazier Prospective IB Magnet Elementary School","Strong","Average","Very Strong","Strong","Weak","Average"
"Frederic Chopin Elementary School","Very Strong","Very Strong","Very Strong","Very Strong","Weak","Very Strong"
"Frederick A Douglass Academy High School","Average","NDA","Weak","Weak","Weak","NDA"
"Frederick Funston Elementary School","Very Weak","NDA","Very Weak","Very Weak","Weak","NDA"
"Frederick Stock Elementary School","NDA","Very Strong","NDA","NDA","Weak","Very Strong"
"Friedrich Ludwig Jahn Elementary School","Strong","NDA","Strong","Average","Weak","NDA"
"Friedrich W von Steuben Metropolitan Science High School","Strong","Weak","Average","Average","Weak","Weak"
"Gage Park High School","Very Weak","Average","Weak","Weak","Weak","Weak"
"Galileo Math & Science Scholastic Academy Elementary School","Strong","Average","Average","Average","Weak","Weak"
"Garrett A Morgan Elementary School","Weak","Weak","Average","Average","Weak","Weak"
"Genevieve Melody Elementary School","Strong","NDA","Strong","Strong","Weak","NDA"
"George Armstrong International Studies Elementary School","Average","Average","Average","Strong","Weak","Average"
"George B McClellan Elementary School","Average","NDA","Weak","Average","Weak","NDA"
"George B Swift Elementary Specialty School","Strong","Average","Strong","Strong","Weak","Average"
"George F Cassell Elementary School","Strong","Strong","Average","Weak","Weak","Strong"
"George H Corliss High School","Weak","Average","Average","Average","Weak","Average"
"George Leland Elementary School","NDA","Strong","NDA","NDA","Weak","Strong"
"George Manierre Elementary School","Average","NDA","Average","Average","Weak","NDA"
"George M Pullman Elementary School","Average","NDA","Strong","Strong","Weak","NDA"
"George Rogers Clark Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"George Washington Carver Military Academy High School","Average","NDA","Weak","Weak","Weak","NDA"
"George Washington Carver Primary School","Weak","NDA","Weak","Weak","Weak","NDA"
"George Washington Elementary School","Average","Strong","Weak","Average","Weak","Strong"
"George Washington High School","Average","Average","Weak","Weak","Weak","Average"
"George W Curtis Elementary School","Weak","NDA","Average","Average","Weak","NDA"
"George Westinghouse High School","Strong","Strong","Strong","Very Strong","Weak","Strong"
"George W Tilton Elementary School","Very Weak","Weak","Weak","Average","Weak","Average"
"Gerald Delgado Kanoon Elementary Magnet School","Average","Weak","Average","Average","Weak","Average"
"Graeme Stewart Elementary School","Average","NDA","Average","Average","Weak","NDA"
"Granville T Woods Math & Science Academy Elementary School","Weak","NDA","Average","Weak","Weak","NDA"
"Greater Lawndale High School For Social Justice","Average","Strong","Average","Average","Weak","Strong"
"Grover Cleveland Elementary School","Strong","Average","Average","Average","Weak","Average"
"Guglielmo Marconi Elementary Community Academy","Weak","NDA","Strong","Strong","Weak","NDA"
"Gurdon S Hubbard High School","Average","NDA","Weak","Weak","Weak","NDA"
"Gwendolyn Brooks College Preparatory Academy High School","Strong","NDA","Average","Average","Weak","NDA"
"Hannah G Solomon Elementary School","Strong","Very Strong","Strong","Strong","Weak","Strong"
"Hanson Park Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"Harold Washington Elementary School","Weak","NDA","Average","Strong","Weak","NDA"
"Harriet Beecher Stowe Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"Harriet E Sayre Elementary Language Academy","Strong","NDA","Average","Average","Weak","NDA"
"Hawthorne Elementary Scholastic Academy","Very Strong","Very Strong","Strong","Average","Weak","Very Strong"
"Helen M Hefferan Elementary School","Weak","Weak","Weak","Strong","Weak","Average"
"Helen Peirce International Studies Elementary School","Average","NDA","Weak","Weak","Weak","NDA"
"Helge A Haugan Elementary School","Average","Weak","Average","Average","Weak","Weak"
"Henry Clay Elementary School","Weak","Weak","Weak","Weak","Weak","Weak"
"Henry D Lloyd Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Henry H Nash Elementary School","Average","NDA","Strong","Strong","Weak","NDA"
"Henry O Tanner Elementary School","Weak","NDA","Average","Average","Weak","NDA"
"Henry R Clissold Elementary School","Average","Strong","Weak","Strong","Weak","Average"
"High School of Leadership at South Shore","NDA","Weak","NDA","NDA","Weak","Weak"
"Hiram H Belding Elementary School","Strong","Strong","Strong","Strong","Weak","Average"
"Hope College Preparatory High School","Weak","Average","Weak","Average","Weak","Weak"
"Horace Greeley Elementary School","Strong","NDA","Average","Weak","Weak","NDA"
"Horace Mann Elementary School","Weak","Weak","Weak","Weak","Weak","Weak"
"Horatio May Elementary Community Academy","Average","NDA","Average","Average","Weak","NDA"
"Hyde Park Academy High School","Weak","Weak","Weak","Average","Weak","Average"
"Hyman G Rickover Naval Academy High School","Strong","NDA","Strong","Average","Weak","NDA"
"Ida B Wells Preparatory Elementary Academy","Average","NDA","Strong","Very Strong","Weak","NDA"
"Ignance Paderewski Elementary Learning Academy","Weak","NDA","Strong","Very Strong","Weak","NDA"
"Infinity Math Science and Technology High School","Average","NDA","Strong","Strong","Weak","NDA"
"Inter-American Elementary Magnet School","Strong","NDA","Average","Average","Weak","NDA"
"Ira F Aldridge Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"Irene C. Hernandez Middle School for the Advancement of Science","Weak","Weak","Weak","Weak","Weak","Weak"
"Irma C Ruiz Elementary School","Average","Average","Average","Strong","Weak","Average"
"Irvin C Mollison Elementary School","Average","NDA","Average","Weak","Weak","NDA"
"Isabelle C O'Keeffe Elementary School","Very Weak","NDA","Weak","Weak","Weak","NDA"
"Jackie Robinson Elementary School","NDA","NDA","NDA","NDA","Weak","NDA"
"Jacob Beidler Elementary School","Strong","NDA","Strong","Average","Weak","NDA"
"Jacqueline B Vaughn Occupational High School","Average","Strong","Weak","Weak","Weak","Strong"
"James B Farnsworth Elementary School","Average","Strong","Average","Weak","Weak","Average"
"James B McPherson Elementary School","Strong","NDA","Average","Weak","Weak","NDA"
"James E McDade Elementary Classical School","Very Strong","NDA","Average","Average","Weak","NDA"
"James G Blaine Elementary School","Very Strong","NDA","Strong","Strong","Weak","NDA"
"James Hedges Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"James Madison Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"James Monroe Elementary School","Average","NDA","Weak","Weak","Weak","NDA"
"James N Thorp Elementary School","Weak","NDA","Weak","Weak","Weak","NDA"
"James Otis Elementary School","Very Strong","Very Strong","Strong","Average","Weak","Very Strong"
"James R Doolittle Jr Elementary School","Weak","NDA","Weak","Average","Weak","NDA"
"James Russell Lowell Elementary School","Weak","NDA","Weak","Average","Weak","NDA"
"James Shields Elementary School","Weak","NDA","Average","Average","Weak","NDA"
